embedding,group,dim,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,ari,nmi,knn_acc
PCA-50,PCA,50,0.004217769950628281,46.764747619628906,27.825690657710318,-3.5067249139149985,0.8132146000862122,0.017845688334183662,0.868656049174317,0.8494906725211443,0.926337137983248
PCA-30,PCA,30,0.009461602196097374,27.45931625366211,19.988004478110874,-3.1803876558939614,0.5561293363571167,0.01585459867447171,0.8697396098443081,0.8493702798720832,0.9483231269047208
PCA-15,PCA,15,0.022911536196867626,13.480934143066406,11.87847708522168,-2.605273962020874,0.23946364223957062,0.02118049245636643,0.860717021860311,0.8401115914861917,0.9502194621739214
PCA-10,PCA,10,0.035489313304424286,9.074142456054688,8.454295762855596,-2.2105554739634194,0.10823703557252884,0.026714908509914898,0.8698910799937787,0.8473956708324152,0.9498404347076073
PCA-5,PCA,5,0.05391852060953776,4.839524269104004,5.036767734418087,-1.6819457213083904,0.018614133819937706,0.012910983534542113,0.5731248575118455,0.7246416383580477,0.9291161136986563
PCA-2,PCA,2,0.08641893913348515,1.9728529453277588,1.99761821950124,-1.205395261446635,0.00035444696550257504,0.004879839224039376,0.5190699087589198,0.6721205722577223,0.8962631533551838
scVI-30,scVI,30,0.0008637544330364714,23.40030860900879,10.892859746829519,-3.0516043504079184,0.3304876983165741,0.16636888857563217,0.46176256127741366,0.6723544776129874,0.9340415540605292
scVI-10,scVI,10,0.000979061839946856,9.36047649383545,7.943787978523193,-2.7236640453338623,0.18162845075130463,0.04359960694812353,0.4829261302077093,0.6688080512396355,0.9268373967377763
RandProj-30,control,30,-0.0005061557894805446,29.807830810546875,23.679969199096984,-3.7259978453318277,0.9577133655548096,0.0038620562397718556,0.09284849604808883,0.1518337523956674,0.5199629118509573
Noise-30,control,30,-2.5366154053093244e-05,29.958072662353516,22.415302203138157,-3.734358787536621,0.9720988869667053,0.0029389209868151598,-9.767864357035935e-05,0.005110417523766214,0.3963863013436068
ShufPCA-30,control,30,-0.00023036857843787098,29.99395179748535,24.666761692106522,-3.738138993581136,0.973014771938324,0.003500409921157091,-7.991196094771025e-05,0.00480551305867639,0.37767906771701837
