metric,downstream,spearman_rho,p_value,ci_lo,ci_hi
anisotropy,ari,0.7090909090909092,0.014552051953727713,0.032179768243031655,0.943661971830986
anisotropy,nmi,0.5909090909090909,0.055575604288774685,-0.1753554502369668,0.8598130841121495
anisotropy,knn_acc,0.5636363636363637,0.07095173447637551,-0.18691588785046725,0.9082891521829325
effective_rank,ari,-0.33636363636363636,0.31182431390038634,-0.8967136150234741,0.37446599801609076
effective_rank,nmi,-0.13636363636363638,0.6893090205863619,-0.8598130841121495,0.641509433962264
effective_rank,knn_acc,-0.46363636363636374,0.15090149929248592,-0.8691635748837646,0.2676228100309169
intrinsic_dim_twonn,ari,-0.22727272727272727,0.501535667604937,-0.7663551401869159,0.4691943127962085
intrinsic_dim_twonn,nmi,-0.06363636363636364,0.8525390725425217,-0.7757009345794391,0.7129960317460312
intrinsic_dim_twonn,knn_acc,-0.39090909090909093,0.23454006709519437,-0.7757009345794391,0.38035408713965935
uniformity,ari,0.5545454545454546,0.07665233333978243,-0.1943615183593923,0.9259259259259258
uniformity,nmi,0.41818181818181827,0.20057021703405048,-0.43880612244897954,0.9099999999999999
uniformity,knn_acc,0.5909090909090909,0.055575604288774685,-0.2000480769230769,0.971830985915493
alignment,ari,-0.5272727272727273,0.09556521835315425,-0.9154929577464789,0.24882629107981222
alignment,nmi,-0.38181818181818183,0.2465595757789701,-0.8883720930232559,0.4691943127962085
alignment,knn_acc,-0.5454545454545455,0.08265095734417503,-0.9708773040664134,0.25124161880009527
knn_consistency,ari,0.5181818181818182,0.1024915397909638,-0.3269230769230769,0.9906542056074766
knn_consistency,nmi,0.5454545454545455,0.08265095734417503,-0.2300911214953271,0.9345794392523363
knn_consistency,knn_acc,0.7545454545454545,0.007282041008429154,0.20388349514563106,0.9711538461538461
