scope,n,kind,metric,rho_raw,rho_partial_dim,shift
all,11,geometric,anisotropy,0.482,0.513,0.031
all,11,geometric,effective_rank,-0.255,-0.372,-0.117
all,11,geometric,intrinsic_dim_twonn,-0.309,-0.55,-0.241
all,11,geometric,uniformity,0.482,0.747,0.265
all,11,geometric,alignment,-0.518,-0.824,-0.306
all,11,geometric,knn_consistency,0.809,0.813,0.004
all,11,oracle,silhouette_lab,0.645,0.855,0.209
all,11,oracle,linear_probe,0.864,0.891,0.027
all,11,oracle,knn_label_purity,0.964,0.967,0.003
real,8,geometric,anisotropy,0.19,0.704,0.514
real,8,geometric,effective_rank,0.214,-0.906,-1.12
real,8,geometric,intrinsic_dim_twonn,0.31,-0.247,-0.557
real,8,geometric,uniformity,-0.095,0.827,0.922
real,8,geometric,alignment,0.095,-0.827,-0.922
real,8,geometric,knn_consistency,0.524,0.42,-0.104
real,8,oracle,silhouette_lab,0.095,0.775,0.679
real,8,oracle,linear_probe,0.667,0.666,-0.001
real,8,oracle,knn_label_purity,0.929,0.93,0.002
