scope,kind,metric,n,rho_ari,ci_lo,ci_hi
all,oracle,silhouette_lab,11,0.645,-0.488,0.974
all,oracle,linear_probe,11,0.864,0.227,1.0
all,oracle,knn_label_purity,11,0.964,0.523,1.0
all,geometric,anisotropy,11,0.482,-0.882,0.802
all,geometric,effective_rank,11,-0.255,-0.875,0.629
all,geometric,intrinsic_dim_twonn,11,-0.309,-0.803,0.725
all,geometric,uniformity,11,0.482,-0.6,0.923
all,geometric,alignment,11,-0.518,-0.973,0.572
all,geometric,knn_consistency,11,0.809,0.092,1.0
real,oracle,silhouette_lab,8,0.095,-0.832,0.852
real,oracle,linear_probe,8,0.667,-0.065,0.918
real,oracle,knn_label_purity,8,0.929,0.615,1.0
real,geometric,anisotropy,8,0.19,-0.827,0.973
real,geometric,effective_rank,8,0.214,-0.556,0.845
real,geometric,intrinsic_dim_twonn,8,0.31,-0.444,0.864
real,geometric,uniformity,8,-0.095,-0.838,0.637
real,geometric,alignment,8,0.095,-0.637,0.838
real,geometric,knn_consistency,8,0.524,-0.241,1.0
