checkpoint,method,eff_rank,probe_acc
dino_rn50,DINO,248.065628,0.875250
vicreg_rn50,VICReg,309.384216,0.859750
barlowtwins_rn50,BarlowTwins,320.964447,0.856000
swav_100ep,SwAV,145.753159,0.871000
swav_200ep,SwAV,174.358124,0.876250
swav_400ep,SwAV,194.651581,0.886500
swav_800ep,SwAV,183.220352,0.898750
mocov2_200ep,MoCo-v2,105.948067,0.866750
mocov2_800ep,MoCo-v2,104.464478,0.871500
simsiam_100ep,SimSiam,195.807678,0.858750
swav_400ep_2x224,SwAV,169.655991,0.869250
swav_200ep_bs256,SwAV,172.234299,0.876000
swav_400ep_bs256,SwAV,191.345779,0.884500
deepclusterv2_400ep,DeepCluster-v2,168.426041,0.889500
deepclusterv2_800ep,DeepCluster-v2,211.905838,0.892250
selav2_400ep,SeLa-v2,118.118179,0.868500
mocov1_200ep,MoCo-v1,60.039898,0.731000
